商品名称,董店价格,京东价格,董店地址,京东地址
品圆定频冷暖小1匹3级能效挂机空调 KFR23GW(23592)NhDa3 (蓝色装饰条),1989.0,2399.0,https://mall.gree.com//goods/product/details?id=1000035646&skuId=1000052092,https://item.jd.com/1993091.html
品悦定频冷暖大1匹3级能效挂机空调 KFR26GW(26592)NhAa3 清爽白,1999.0,1999.0,https://mall.gree.com//goods/product/details?id=1000165229&skuId=1000056410,https://item.jd.com/100007491279.html
风采定频冷暖小1匹3级能效挂机空调 KFR23GWNhBaD3 皓雪白,1999.0,,https://mall.gree.com//goods/product/details?id=1001001456&skuId=1000079079,
小行运定频单冷3级能效挂机空调 KF19GW(19301)Aa3 皓雪白,1999.0,,https://mall.gree.com//goods/product/details?id=1002979837&skuId=1000309699,
京逸定频冷暖小1匹3级能效挂机空调 KFR23GWDbD3 皓雪白,2009.0,,https://mall.gree.com//goods/product/details?id=1001005364&skuId=1000079105,
俊越定频冷暖大1匹3级能效挂机空调 KFR26GW(26559)NhAb3 (清爽白),2049.0,2379.0,https://mall.gree.com//goods/product/details?id=1000135270&skuId=1000054773,https://item.jd.com/28516739087.html
凉之夏Ⅱ定频冷暖大1匹3级能效挂机空调  KFR26GW(26591)NhBa3 皓雪白,2049.0,2399.0,https://mall.gree.com//goods/product/details?id=1000025878&skuId=1000042733,https://item.jd.com/10023452528876.html
风采定频冷暖大1匹3级能效挂机空调  KFR26GWNhBaD3 皓雪白,2099.0,,https://mall.gree.com//goods/product/details?id=1001001461&skuId=1000079085,
品圆定频冷暖小1.5匹3级能效挂机空调 KFR32GW(32592)NhDa3 (蓝色装饰条),2249.0,,https://mall.gree.com//goods/product/details?id=1000269187&skuId=1000056644,
Q畅定频冷暖小1匹2级能效挂机空调 KFR23GW(23594)Aa2 白色,2299.0,,https://mall.gree.com//goods/product/details?id=1000025956&skuId=1000042813,
品悦变频冷暖大1匹3级能效挂机空调 KFR26GW(26592)FNhAaA3 清爽白,2309.0,2399.0,https://mall.gree.com//goods/product/details?id=1000165910&skuId=1000056420,https://item.jd.com/100010725728.html
品圆变频冷暖大1匹3级能效挂机空调 KFR26GW(26592)FNhDaA3 (蓝色装饰条),2319.0,2999.0,https://mall.gree.com//goods/product/details?id=1000025610&skuId=1000042465,https://item.jd.com/1993089.html
品圆定频冷暖正1.5匹3级能效挂机空调 KFR35GW(35592)NhDa3 (蓝色装饰条),2359.0,2799.0,https://mall.gree.com//goods/product/details?id=1000035633&skuId=1000052079,https://item.jd.com/1993087.html
